Player,Position,Date of Birth,Age,Caps,Team
Dylan Hartley,Hooker,1986-03-24,23,14,England
Lee Mears,Hooker,1979-03-05,30,34,England
Steve Thompson,Hooker,1978-07-15,44,51,England
Dan Cole,Prop,1987-05-09,35,0,England
Matt Mullan,Prop,1987-02-23,35,0,England
Tim Payne,Prop,1979-04-29,43,15,England
Andrew Sheridan,Prop,1979-11-01,42,32,England
Julian White,Prop,1973-05-14,49,51,England
David Wilson,Prop,1985-04-09,37,4,England
Steve Borthwick (c),Lock,1979-10-12,42,53,England
Louis Deacon,Lock,1980-10-07,41,13,England
Courtney Lawes,Lock,1989-02-23,33,1,England
Tom Palmer,Lock,1979-03-27,43,13,England
Simon Shaw,Lock,1973-09-01,49,54,England
Steffon Armitage,Flanker,1985-09-20,37,3,England
Tom Croft,Flanker,1985-11-07,36,16,England
Hendre Fourie,Flanker,1979-07-03,43,0,England
James Haskell,Flanker,1985-04-02,37,22,England
Lewis Moody (vc),Flanker,1978-06-12,44,56,England
Chris Robshaw,Flanker,1986-06-04,36,1,England
Joe Worsley,Flanker,1977-06-14,45,74,England
Jordan Crane,Number 8,1986-06-03,36,3,England
Nick Easter,Number 8,1978-08-15,44,27,England
Dan Ward-Smith,Number 8,1978-01-02,44,0,England
Danny Care,Scrum-half,1987-01-02,35,14,England
Harry Ellis,Scrum-half,1982-05-17,40,27,England
Paul Hodgson,Scrum-half,1982-04-25,40,6,England
Ben Youngs,Scrum-half,1989-09-05,33,0,England
Toby Flood,Fly-half,1985-08-08,37,26,England
Shane Geraghty,Fly-half,1986-08-12,36,6,England
Charlie Hodgson,Fly-half,1980-11-12,41,31,England
Jonny Wilkinson,Fly-half,1979-05-25,43,73,England
Riki Flutey,Centre,1980-02-10,42,9,England
Shontayne Hape,Centre,1981-01-30,41,0,England
Dan Hipkiss,Centre,1982-06-04,40,12,England
Jamie Noon,Centre,1979-05-09,43,38,England
Mathew Tait,Centre,1986-02-06,36,32,England
Mike Tindall,Centre,1978-10-18,43,60,England
Chris Ashton,Wing,1987-03-29,35,0,England
Matt Banahan,Wing,1986-12-30,35,5,England
Mark Cueto,Wing,1979-12-26,42,34,England
Ugo Monye,Wing,1983-04-13,39,9,England
Delon Armitage,Fullback,1983-12-15,38,11,England
Ben Foden,Fullback,1985-07-22,37,1,England
Olly Morgan,Fullback,1985-11-03,36,2,England
William Servat,Hooker,1978-02-09,44,25,France
Dimitri Szarzewski,Hooker,1983-01-26,39,41,France
Clément Baïocco,Prop,1979-12-03,42,0,France
Thomas Domingo,Prop,1985-08-20,37,5,France
Luc Ducalcon,Prop,1984-01-02,38,0,France
Sylvain Marconnet,Prop,1976-04-08,46,79,France
Nicolas Mas,Prop,1980-05-23,42,30,France
Jean-Baptiste Poux,Prop,1979-09-26,43,23,France
Sébastien Chabal,Lock,1977-12-08,44,52,France
Yoann Maestri,Lock,1988-01-14,34,0,France
Romain Millo-Chluski,Lock,1983-04-20,39,13,France
Lionel Nallet,Lock,1976-09-14,46,49,France
Pascal Papé,Lock,1980-10-05,41,23,France
Julien Pierre,Lock,1981-07-31,41,2,France
Julien Bonnaire,Flanker,1978-09-20,44,47,France
Thierry Dusautoir (c),Flanker,1981-11-18,40,28,France
Alexandre Lapandry,Flanker,1989-04-13,33,1,France
Fulgence Ouedraogo,Flanker,1986-07-21,36,18,France
Imanol Harinordoquy,Number 8,1980-02-20,42,57,France
Louis Picamoles,Number 8,1986-02-05,36,15,France
Jean-Baptiste Élissalde,Scrum-half,1977-11-23,44,35,France
Frédéric Michalak,Scrum-half,1982-10-16,39,51,France
Morgan Parra,Scrum-half,1988-11-15,33,12,France
Dimitri Yachvili,Scrum-half,1980-09-19,42,41,France
Benjamin Boyet,Fly-half,1979-08-08,43,5,France
François Trinh-Duc,Fly-half,1986-11-11,35,15,France
Mathieu Bastareaud,Centre,1988-09-17,34,4,France
Fabrice Estebanez,Centre,1981-12-26,40,0,France
Yannick Jauzion,Centre,1978-07-28,44,63,France
David Marty,Centre,1982-10-30,39,25,France
Marc Andreu,Wing,1985-12-27,36,0,France
Vincent Clerc,Wing,1981-05-07,41,39,France
Benjamin Fall,Wing,1989-04-29,33,1,France
Julien Malzieu,Wing,1983-05-04,39,11,France
Alexis Palisson,Wing,1987-09-09,35,5,France
Aurélien Rougerie,Wing,1980-09-26,42,55,France
Clément Poitrenaud,Fullback,1982-05-20,40,34,France
Rory Best,Hooker,1982-08-15,40,34,Ireland
Sean Cronin,Hooker,1986-05-06,36,1,Ireland
Jerry Flannery,Hooker,1978-10-17,43,34,Ireland
John Fogarty,Hooker,1977-10-18,44,0,Ireland
Tony Buckley,Prop,1980-10-08,41,14,Ireland
Tom Court,Prop,1980-11-06,41,5,Ireland
Declan Fitzpatrick,Prop,1983-07-12,39,0,Ireland
John Hayes,Prop,1973-11-02,48,97,Ireland
Cian Healy,Prop,1987-10-07,34,2,Ireland
Marcus Horan,Prop,1977-09-07,45,66,Ireland
Mike Ross,Prop,1979-12-21,42,2,Ireland
Brett Wilkinson,Prop,1983-11-29,38,0,Ireland
Leo Cullen,Lock,1978-01-09,44,20,Ireland
Donncha O'Callaghan,Lock,1979-03-24,43,58,Ireland
Paul O'Connell (vc),Lock,1979-10-20,42,65,Ireland
Mick O'Driscoll,Lock,1978-10-08,43,17,Ireland
Donnacha Ryan,Lock,1983-12-11,38,3,Ireland
Devin Toner,Lock,1986-06-29,36,0,Ireland
Dan Tuohy,Lock,1985-06-18,37,0,Ireland
Stephen Ferris,Flanker,1985-08-02,37,16,Ireland
Shane Jennings,Flanker,1981-07-08,41,5,Ireland
Kevin McLaughlin,Flanker,1984-09-20,38,0,Ireland
Seán O'Brien,Flanker,1987-02-14,35,2,Ireland
David Wallace,Flanker,1976-07-08,46,57,Ireland
Jamie Heaslip,Number 8,1983-12-15,38,21,Ireland
Chris Henry,Number 8,1984-10-17,37,0,Ireland
Isaac Boss,Scrum-half,1980-04-09,42,12,Ireland
Tomás O'Leary,Scrum-half,1983-10-22,38,11,Ireland
Eoin Reddan,Scrum-half,1980-11-20,41,17,Ireland
Peter Stringer,Scrum-half,1977-12-13,44,91,Ireland
Ronan O'Gara,Fly-half,1977-03-07,45,93,Ireland
Johnny Sexton,Fly-half,1985-07-11,37,2,Ireland
Gordon D'Arcy,Centre,1980-02-10,42,43,Ireland
Fergus McFadden,Centre,1986-06-17,36,0,Ireland
Brian O'Driscoll (c),Centre,1979-01-21,43,96,Ireland
Paddy Wallace,Centre,1979-08-27,43,19,Ireland
Tommy Bowe,Wing,1984-02-22,38,25,Ireland
Ian Dowling,Wing,1982-10-05,39,2,Ireland
Keith Earls,Wing,1987-10-02,34,5,Ireland
Shane Horgan,Wing,1978-07-18,44,65,Ireland
Johne Murphy,Wing,1984-11-10,37,0,Ireland
Andrew Trimble,Wing,1984-10-20,37,25,Ireland
Denis Hurley,Fullback,1984-07-15,38,1,Ireland
Rob Kearney,Fullback,1986-03-26,36,19,Ireland
Geordan Murphy,Fullback,1978-04-19,44,63,Ireland
Leonardo Ghiraldini (c),Hooker,1984-12-26,37,24,Italy
Fabio Ongaro,Hooker,1977-09-23,45,64,Italy
Matías Agüero,Prop,1981-02-13,41,13,Italy
Martin Castrogiovanni,Prop,1981-10-21,40,62,Italy
Lorenzo Cittadini,Prop,1982-12-17,39,1,Italy
Salvatore Perugini,Prop,1978-03-06,44,66,Italy
Valerio Bernabò,Lock,1984-03-03,38,13,Italy
Marco Bortolami,Lock,1980-06-12,42,77,Italy
Carlo Del Fava,Lock,1981-07-01,41,41,Italy
Quintin Geldenhuys,Lock,1981-06-19,41,6,Italy
Antonio Pavanello,Lock,1982-10-13,39,5,Italy
Mauro Bergamasco,Flanker,1979-05-01,43,79,Italy
Paul Derbyshire,Flanker,1986-07-03,36,1,Italy
Simone Favaro,Flanker,1988-11-07,33,5,Italy
Josh Sole,Flanker,1980-02-15,42,41,Italy
Manoa Vosawai,Number 8,1983-08-12,39,5,Italy
Alessandro Zanni,Number 8,1984-01-31,38,37,Italy
Pablo Canavosio,Scrum-half,1981-12-26,40,26,Italy
Simon Picone,Scrum-half,1982-09-26,40,20,Italy
Tito Tebaldi,Scrum-half,1987-09-20,35,6,Italy
Riccardo Bocchino,Fly-half,1988-03-03,34,0,Italy
Craig Gower,Fly-half,1978-04-29,44,6,Italy
Andrea Marcato,Fly-half,1983-04-17,39,16,Italy
Gonzalo Canale,Centre,1982-11-11,39,51,Italy
Gonzalo Garcia,Centre,1984-02-18,38,13,Italy
Matteo Pratichetti,Centre,1985-07-27,37,20,Italy
Alberto Sgarbi,Centre,1986-11-26,35,5,Italy
Mirco Bergamasco,Wing,1983-02-23,39,66,Italy
Andrea Masi,Wing,1981-03-30,41,46,Italy
Kaine Robertson,Wing,1980-10-29,41,41,Italy
Michele Sepe,Wing,1986-10-08,35,2,Italy
Paolo Buso,Fullback,1986-07-28,36,1,Italy
Luke McLean,Fullback,1987-06-29,35,11,Italy
Ross Ford,Hooker,1984-04-23,38,33,Scotland
Dougie Hall,Hooker,1980-09-24,42,31,Scotland
Scott Lawson,Hooker,1981-09-28,40,16,Scotland
Geoff Cross,Prop,1982-12-01,39,1,Scotland
Alasdair Dickinson,Prop,1983-09-11,39,13,Scotland
Allan Jacobsen,Prop,1978-09-22,44,40,Scotland
Moray Low,Prop,1984-11-28,37,5,Scotland
Euan Murray,Prop,1980-08-07,42,28,Scotland
Jon Welsh,Prop,1986-10-13,35,0,Scotland
Richie Gray,Lock,1989-08-24,33,0,Scotland
Jim Hamilton,Lock,1982-11-17,39,23,Scotland
Nathan Hines,Lock,1976-11-29,45,61,Scotland
Alastair Kellock,Lock,1981-06-14,41,20,Scotland
Scott MacLeod,Lock,1979-03-03,43,21,Scotland
John Barclay,Flanker,1986-11-24,35,13,Scotland
Kelly Brown,Flanker,1982-06-08,40,30,Scotland
Scott Gray,Flanker,1978-02-25,44,8,Scotland
Alan MacDonald,Flanker,1985-10-21,36,1,Scotland
Ross Rennie,Flanker,1986-03-29,36,1,Scotland
Alasdair Strokosch,Flanker,1983-02-21,39,14,Scotland
Johnnie Beattie,Number 8,1985-11-21,36,7,Scotland
Roddy Grant,Number 8,1987-01-31,35,0,Scotland
Mike Blair (c),Scrum-half,1981-04-20,41,59,Scotland
Chris Cusiter (c),Scrum-half,1982-06-13,40,47,Scotland
Rory Lawson,Scrum-half,1981-03-12,41,17,Scotland
Phil Godman,Fly-half,1982-05-20,40,20,Scotland
Ruaridh Jackson,Fly-half,1988-02-12,34,0,Scotland
Dan Parks,Fly-half,1978-05-26,44,47,Scotland
Ben Cairns,Centre,1985-09-29,36,7,Scotland
Nick De Luca,Centre,1984-02-01,38,14,Scotland
Max Evans,Centre,1983-12-28,38,6,Scotland
Alex Grove,Centre,1987-11-30,34,3,Scotland
Graeme Morrison,Centre,1982-10-17,39,18,Scotland
Simon Danielli,Wing,1979-11-08,42,22,Scotland
Thom Evans,Wing,1985-04-02,37,8,Scotland
Rory Lamont,Wing,1982-10-10,39,22,Scotland
Sean Lamont,Wing,1981-01-15,41,40,Scotland
Mark Robertson,Wing,1984-12-30,37,0,Scotland
Simon Webster,Wing,1981-03-08,41,37,Scotland
Nikki Walker,Wing,1982-03-05,40,15,Scotland
Chris Paterson,Fullback,1978-03-30,44,98,Scotland
Hugo Southwell,Fullback,1980-05-14,42,48,Scotland
Jim Thompson,Fullback,1984-11-05,37,0,Scotland
Huw Bennett,Hooker,1983-06-11,39,27,Wales
Ken Owens,Hooker,1987-01-03,35,0,Wales
Matthew Rees,Hooker,1980-12-09,41,34,Wales
Gareth Williams,Hooker,1979-12-19,42,7,Wales
Rhys Gill,Prop,1986-10-30,35,0,Wales
Paul James,Prop,1982-05-13,40,5,Wales
Gethin Jenkins (vc),Prop,1980-11-17,41,72,Wales
Adam Jones,Prop,1981-03-08,41,56,Wales
Eifion Lewis-Roberts,Prop,1981-02-13,41,1,Wales
Luke Charteris,Lock,1983-03-09,39,18,Wales
Bradley Davies,Lock,1987-01-09,35,5,Wales
Ian Gough,Lock,1976-11-10,45,61,Wales
Alun Wyn Jones,Lock,1985-09-19,37,35,Wales
Deiniol Jones,Lock,1977-11-18,44,7,Wales
Dan Lydiate,Flanker,1987-12-18,34,2,Wales
Andy Powell,Flanker,1981-08-23,41,12,Wales
Jonathan Thomas,Flanker,1982-12-27,39,50,Wales
Sam Warburton,Flanker,1988-10-05,33,3,Wales
Martyn Williams,Flanker,1975-09-01,47,91,Wales
Gareth Delve,Number 8,1982-12-30,39,9,Wales
Ryan Jones (c),Number 8,1981-03-13,41,36,Wales
Gareth Cooper,Scrum-half,1979-05-07,43,44,Wales
Dwayne Peel,Scrum-half,1981-08-31,41,72,Wales
Mike Phillips,Scrum-half,1982-08-29,40,38,Wales
Richie Rees,Scrum-half,1983-05-21,39,0,Wales
Martin Roberts,Scrum-half,1986-06-06,36,3,Wales
Dan Biggar,Fly-half,1989-10-16,32,4,Wales
Stephen Jones,Fly-half,1977-12-08,44,83,Wales
Andrew Bishop,Centre,1985-08-07,37,8,Wales
Jonathan Davies,Centre,1988-04-05,34,5,Wales
James Hook,Centre,1985-06-27,37,37,Wales
Jamie Roberts,Centre,1986-11-08,35,16,Wales
Tom Shanklin,Centre,1979-11-24,42,65,Wales
Leigh Halfpenny,Wing,1988-12-22,33,10,Wales
Tom James,Wing,1987-04-17,35,8,Wales
Kristian Phillips,Wing,1990-09-02,32,0,Wales
Tom Prydie,Wing,1992-02-23,30,0,Wales
Shane Williams,Wing,1977-02-26,45,68,Wales
Lee Byrne,Fullback,1980-06-01,42,27,Wales
