Player,Position,Date of Birth,Age,Caps,Year
Ryan Elias,Hooker,1/7/1995,27,23,2022
Dewi Lake,Hooker,5/16/1999,22,0,2022
Bradley Roberts,Hooker,1/4/1996,26,1,2022
Leon Brown,Prop,10/26/1996,25,16,2022
Rhys Carré,Prop,2/8/1998,23,16,2022
Tomas Francis,Prop,4/27/1992,29,60,2022
Wyn Jones,Prop,2/26/1992,29,38,2022
Dillon Lewis,Prop,1/4/1996,26,34,2022
Gareth Thomas,Prop,8/2/1993,28,5,2022
Adam Beard,Lock,1/7/1996,26,29,2022
Ben Carter,Lock,1/23/2001,21,5,2022
Seb Davies,Lock,5/17/1996,25,13,2022
Will Rowlands,Lock,9/19/1991,30,13,2022
Christ Tshiunza,Lock,1/9/2002,20,2,2022
Taine Basham,Back row,11/2/1999,22,7,2022
Ellis Jenkins,Back row,4/29/1993,28,14,2022
Jac Morgan,Back row,1/21/2000,22,0,2022
Ross Moriarty,Back row,4/18/1994,27,49,2022
James Ratti,Back row,10/14/1997,24,0,2022
Aaron Wainwright,Back row,9/25/1997,24,34,2022
Gareth Davies,Scrum-half,8/18/1990,31,65,2022
Kieran Hardy,Scrum-half,11/30/1995,26,8,2022
Tomos Williams,Scrum-half,1/1/1995,27,29,2022
Gareth Anscombe,Fly-half,5/10/1991,30,29,2022
Dan Biggar (c),Fly-half,10/16/1989,32,95,2022
Rhys Priestland,Fly-half,1/9/1987,35,52,2022
Callum Sheedy,Fly-half,10/28/1995,26,13,2022
Jonathan Davies,Centre,4/5/1988,33,93,2022
Willis Halaholo,Centre,7/6/1990,31,9,2022
Nick Tompkins,Centre,2/16/1995,26,16,2022
Owen Watkin,Centre,10/12/1996,25,26,2022
Josh Adams,Wing,4/21/1995,26,35,2022
Alex Cuthbert,Wing,4/5/1990,31,48,2022
Louis Rees-Zammit,Wing,2/2/2001,21,12,2022
Johnny McNicholl,Fullback,9/24/1990,31,8,2022
Liam Williams,Fullback,4/9/1991,30,74,2022
Alun Wyn Jones,Lock,9/19/1985,36,149,2022
Taulupe Faletau,Back row,11/12/1990,31,86,2022
Josh Navidi,Back row,12/30/1990,31,28,2022
Elliot Dee,Hooker,3/7/1994,26,32,2021
Ryan Elias,Hooker,1/7/1995,26,13,2021
Ken Owens,Hooker,1/3/1987,34,77,2021
Leon Brown,Prop,10/26/1996,24,12,2021
Rhys Carré,Prop,2/8/1998,22,12,2021
Tomas Francis,Prop,4/27/1992,28,52,2021
Wyn Jones,Prop,2/26/1992,28,30,2021
Dillon Lewis,Prop,1/4/1996,25,40,2021
Jake Ball,Lock,6/21/1991,29,49,2021
Adam Beard,Lock,1/7/1996,25,21,2021
Cory Hill,Lock,2/10/1992,28,29,2021
Alun Wyn Jones (c),Lock,9/19/1985,35,143,2021
Will Rowlands,Lock,9/19/1991,29,5,2021
Taulupe Faletau,Back row,11/12/1990,30,81,2021
Dan Lydiate,Back row,12/18/1987,33,62,2021
Josh Macleod,Back row,10/27/1996,24,0,2021
Josh Navidi,Back row,12/30/1990,30,24,2021
Justin Tipuric,Back row,8/6/1989,31,80,2021
Aaron Wainwright,Back row,9/25/1997,23,27,2021
Gareth Davies,Scrum-half,8/18/1990,30,57,2021
Kieran Hardy,Scrum-half,11/30/1995,25,2,2021
Tomos Williams,Scrum-half,1/1/1995,26,20,2021
Dan Biggar,Fly-half,10/16/1989,31,87,2021
Jarrod Evans,Fly-half,7/25/1995,25,6,2021
Callum Sheedy,Fly-half,10/28/1995,25,4,2021
Jonathan Davies,Centre,4/5/1988,32,85,2021
Nick Tompkins,Centre,2/16/1995,25,8,2021
Owen Watkin,Centre,10/12/1996,24,23,2021
Johnny Williams,Centre,10/18/1996,24,2,2021
Josh Adams,Wing,4/21/1995,25,29,2021
George North,Wing,4/13/1992,28,98,2021
Louis Rees-Zammit,Wing,2/2/2001,20,4,2021
Hallam Amos,Fullback,9/24/1994,26,22,2021
Leigh Halfpenny,Fullback,12/22/1988,32,93,2021
Liam Williams,Fullback,4/9/1991,29,67,2021
WillGriff John,Prop,12/4/1992,28,0,2021
James Botham,Back row,2/22/1998,22,3,2021
Lloyd Williams,Scrum-half,11/30/1989,31,31,2021
Willis Halaholo,Centre,7/6/1990,30,0,2021
Elliot Dee,Hooker,3/7/1994,25,29,2020
Ryan Elias,Hooker,1/7/1995,25,9,2020
Ken Owens,Hooker,1/3/1987,33,73,2020
Rhys Carre,Prop,2/8/1998,21,6,2020
Leon Brown,Prop,10/26/1996,23,6,2020
Rob Evans,Prop,4/14/1992,27,36,2020
WillGriff John,Prop,12/4/1992,27,0,2020
Wyn Jones,Prop,2/26/1992,27,22,2020
Dillon Lewis,Prop,1/4/1996,24,22,2020
Jake Ball,Lock,6/27/1991,28,42,2020
Adam Beard,Lock,1/7/1996,24,20,2020
Seb Davies,Lock,5/17/1996,23,7,2020
Cory Hill,Lock,2/10/1992,27,24,2020
Alun Wyn Jones,Lock,9/19/1985,34,134,2020
Will Rowlands,Lock,9/19/1991,28,0,2020
Taulupe Faletau,Back row,11/12/1990,29,72,2020
Ross Moriarty,Back row,11/12/1990,29,41,2020
Josh Navidi,Back row,12/30/1990,29,23,2020
Aaron Shingler,Back row,8/7/1987,32,26,2020
Justin Tipuric,Back row,8/6/1989,30,72,2020
Aaron Wainwright,Back row,9/25/1997,22,18,2020
Gareth Davies,Scrum-half,8/18/1990,29,51,2020
Rhys Webb,Scrum-half,12/9/1988,31,31,2020
Tomos Williams,Scrum-half,1/1/1995,25,16,2020
Dan Biggar,Fly-half,10/16/1989,30,79,2020
Jarrod Evans,Fly-half,7/25/1996,23,3,2020
Owen Williams,Fly-half,2/27/1992,27,3,2020
Hadleigh Parkes,Centre,10/5/1987,32,25,2020
Nick Tompkins,Centre,2/16/1995,24,0,2020
Owen Watkin,Centre,10/12/1996,23,22,2020
Josh Adams,Wing,4/21/1995,24,21,2020
Owen Lane,Wing,12/20/1997,22,2,2020
Johnny McNicholl,Wing,9/24/1990,29,0,2020
George North,Wing,4/13/1992,27,91,2020
Louis Rees-Zammit,Wing,2/2/2001,18,0,2020
Leigh Halfpenny,Fullback,12/22/1988,31,85,2020
Jonah Holmes,Fullback,7/24/1992,27,3,2020
Liam Williams,Fullback,4/9/1991,28,62,2020
Elliot Dee,Hooker,3/7/1994,24,12,2019
Ryan Elias,Hooker,1/7/1995,24,6,2019
Ken Owens,Hooker,1/3/1987,32,59,2019
Leon Brown,Prop,10/26/1996,22,5,2019
Rob Evans,Prop,4/14/1992,26,30,2019
Tomas Francis,Prop,4/27/1992,26,35,2019
Wyn Jones,Prop,2/26/1992,26,10,2019
Samson Lee,Prop,11/30/1992,26,38,2019
Dillon Lewis,Prop,1/4/1996,23,7,2019
Nicky Smith,Prop,4/7/1994,24,23,2019
Jake Ball,Lock,6/27/1991,27,29,2019
Adam Beard,Lock,1/7/1996,23,7,2019
Seb Davies,Lock,5/17/1996,22,7,2019
Cory Hill,Lock,2/10/1992,26,21,2019
Alun Wyn Jones (c),Lock,9/19/1985,33,119,2019
Ross Moriarty,Back row,4/18/1994,24,25,2019
Josh Navidi,Back row,12/30/1990,28,11,2019
Justin Tipuric,Back row,8/6/1989,29,59,2019
Josh Turnbull,Back row,3/12/1988,30,10,2019
Aaron Wainwright,Back row,9/25/1997,21,2,2019
Thomas Young,Back row,5/18/1992,26,2,2019
Aled Davies,Scrum-half,7/19/1992,26,12,2019
Gareth Davies,Scrum-half,8/18/1990,28,35,2019
Tomos Williams,Scrum-half,1/1/1995,24,5,2019
Gareth Anscombe,Fly-half,5/10/1991,27,20,2019
Dan Biggar,Fly-half,10/16/1989,29,64,2019
Jarrod Evans,Fly-half,7/25/1996,22,1,2019
Rhys Patchell,Fly-half,5/17/1993,25,11,2019
Jonathan Davies,Centre,4/5/1988,30,67,2019
Hadleigh Parkes,Centre,10/5/1987,31,10,2019
Owen Watkin,Centre,10/12/1996,22,7,2019
Scott Williams,Centre,10/10/1990,28,57,2019
Josh Adams,Wing,4/21/1995,23,5,2019
Hallam Amos,Wing,9/24/1994,24,18,2019
Steff Evans,Wing,9/1/1994,24,12,2019
Jonah Holmes,Wing,7/24/1992,26,1,2019
George North,Wing,4/13/1992,26,78,2019
Leigh Halfpenny,Fullback,12/22/1988,30,80,2019
Liam Williams,Fullback,4/9/1991,27,50,2019
Scott Baldwin,Hooker,7/12/1988,29,34,2018
Elliot Dee,Hooker,3/7/1994,23,2,2018
Ken Owens,Hooker,1/3/1987,31,52,2018
Rob Evans,Prop,4/14/1992,25,20,2018
Tomas Francis,Prop,4/27/1992,25,26,2018
Wyn Jones,Prop,2/26/1992,25,5,2018
Samson Lee,Prop,11/30/1992,25,34,2018
Dillon Lewis,Prop,1/4/1996,22,2,2018
Nicky Smith,Prop,4/7/1994,23,16,2018
Adam Beard,Lock,1/7/1996,22,2,2018
Bradley Davies,Lock,1/9/1987,31,57,2018
Seb Davies,Lock,5/15/1996,21,3,2018
Cory Hill,Lock,2/10/1992,25,10,2018
Alun Wyn Jones (c),Lock,9/19/1985,32,113,2018
James Davies,Flanker,10/25/1990,27,0,2018
Ellis Jenkins,Flanker,4/29/1993,24,5,2018
Josh Navidi,Flanker,12/30/1990,27,7,2018
Aaron Shingler,Flanker,8/7/1987,30,13,2018
Justin Tipuric,Flanker,8/6/1989,28,52,2018
Taulupe Faletau,Number 8,11/12/1990,27,70,2018
Ross Moriarty,Number 8,4/18/1994,23,17,2018
Aled Davies,Scrum-half,7/19/1992,25,5,2018
Gareth Davies,Scrum-half,8/18/1990,27,27,2018
Rhys Webb,Scrum-half,12/9/1988,29,31,2018
Gareth Anscombe,Fly-half,5/10/1991,26,11,2018
Dan Biggar,Fly-half,10/16/1989,28,60,2018
Rhys Patchell,Fly-half,5/17/1993,24,5,2018
Rhys Priestland,Fly-half,1/9/1987,31,50,2018
Hadleigh Parkes,Centre,10/5/1987,30,1,2018
Owen Watkin,Centre,10/12/1996,21,2,2018
Owen Williams,Centre,2/27/1992,25,3,2018
Scott Williams,Centre,10/10/1990,27,51,2018
Josh Adams,Wing,4/21/1995,22,0,2018
Hallam Amos,Wing,9/24/1994,23,15,2018
Alex Cuthbert,Wing,4/5/1990,27,47,2018
Steff Evans,Wing,9/1/1994,23,5,2018
George North,Wing,4/13/1992,25,69,2018
Leigh Halfpenny,Fullback,12/22/1988,29,74,2018
Liam Williams,Fullback,4/9/1991,26,45,2018
Scott Baldwin,Hooker,7/12/1988,28,28,2017
Kristian Dacey,Hooker,7/25/1989,27,3,2017
Ken Owens,Hooker,1/3/1987,30,45,2017
Scott Andrews,Prop,8/1/1989,27,13,2017
Rob Evans,Prop,4/14/1992,24,12,2017
Tomas Francis,Prop,4/27/1992,24,17,2017
Rhodri Jones,Prop,12/23/1991,25,14,2017
Samson Lee,Prop,11/30/1992,24,29,2017
Nicky Smith,Prop,4/7/1994,22,7,2017
Jake Ball,Lock,6/21/1991,25,21,2017
Luke Charteris,Lock,3/9/1983,33,71,2017
Cory Hill,Lock,2/10/1992,24,3,2017
Alun Wyn Jones (c),Lock,9/19/1985,31,105,2017
Rory Thornton,Lock,3/16/1995,21,0,2017
Olly Cracknell,Flanker,5/26/1994,22,0,2017
James King,Flanker,7/24/1990,26,10,2017
Ross Moriarty,Flanker,4/18/1994,22,12,2017
Justin Tipuric,Flanker,8/6/1989,27,46,2017
Sam Warburton,Flanker,10/5/1988,28,69,2017
Thomas Young,Flanker,5/18/1992,24,0,2017
Taulupe Faletau,Number 8,11/12/1990,26,62,2017
Aled Davies,Scrum-half,7/19/1992,24,0,2017
Gareth Davies,Scrum-half,8/18/1990,26,21,2017
Rhys Webb,Scrum-half,12/9/1988,28,23,2017
Dan Biggar,Fly-half,10/16/1989,27,51,2017
Sam Davies,Fly-half,10/6/1993,23,3,2017
Owen Williams,Fly-half,2/27/1992,24,0,2017
Jonathan Davies,Centre,4/5/1988,28,59,2017
Jamie Roberts,Centre,11/8/1986,30,86,2017
Scott Williams,Centre,10/10/1990,26,41,2017
Alex Cuthbert,Wing,4/5/1990,26,44,2017
Steff Evans,Wing,9/1/1994,22,0,2017
Ashton Hewitt,Wing,11/20/1994,22,0,2017
George North,Wing,4/13/1992,24,65,2017
Leigh Halfpenny,Fullback,12/22/1988,28,66,2017
Liam Williams,Fullback,4/9/1991,25,38,2017
Scott Baldwin ‡,Hooker,7/12/1988,27,15,2016
Kristian Dacey,Hooker,7/25/1989,26,2,2016
Ken Owens,Hooker,1/3/1987,29,34,2016
Rob Evans,Prop,4/14/1992,23,3,2016
Tomas Francis,Prop,4/27/1992,23,7,2016
Paul James,Prop,5/13/1982,33,65,2016
Aaron Jarvis,Prop,5/20/1986,29,16,2016
Gethin Jenkins,Prop,11/17/1980,35,119,2016
Samson Lee ‡,Prop,11/30/1992,23,17,2016
Jake Ball ‡,Lock,6/21/1991,24,15,2016
Luke Charteris,Lock,3/9/1983,32,62,2016
Bradley Davies,Lock,1/9/1987,29,49,2016
Dominic Day,Lock,8/22/1985,30,3,2016
Alun Wyn Jones ‡,Lock,9/19/1985,30,94,2016
Josh Turnbull,Flanker,3/12/1988,27,7,2016
James King ‡,Flanker,7/24/1990,25,7,2016
Dan Lydiate ‡,Flanker,12/18/1987,28,51,2016
Ross Moriarty,Flanker,4/18/1994,21,4,2016
Justin Tipuric,Flanker,8/6/1989,26,38,2016
Sam Warburton (c) ‡,Flanker,10/5/1988,27,60,2016
Taulupe Faletau,Number 8,11/12/1990,25,52,2016
Aled Davies,Scrum-half,7/19/1992,23,0,2016
Gareth Davies,Scrum-half,8/18/1990,25,9,2016
Lloyd Williams,Scrum-half,11/30/1989,26,24,2016
Dan Biggar ‡,Fly-half,10/16/1989,26,39,2016
Rhys Priestland,Fly-half,1/9/1987,29,40,2016
Cory Allen,Centre,2/11/1993,22,4,2016
Jonathan Davies,Centre,4/5/1988,27,48,2016
Tyler Morgan ‡,Centre,9/11/1995,20,3,2016
Jamie Roberts,Centre,11/8/1986,30,74,2016
Hallam Amos,Wing,9/24/1994,21,5,2016
Alex Cuthbert,Wing,4/5/1990,25,40,2016
Tom James,Wing,4/17/1987,28,10,2016
George North,Wing,4/13/1992,23,55,2016
Gareth Anscombe ‡,Fullback,5/10/1991,24,3,2016
Matthew Morgan,Fullback,4/23/1992,23,5,2016
Liam Williams,Fullback,4/9/1991,24,26,2016
Rhys Webb ‡,Scrum-half,12/9/1988,27,16,2016
Scott Baldwin,Hooker,7/12/1988,26,5,2015
Kristian Dacey,Hooker,7/25/1989,25,0,2015
Richard Hibbard,Hooker,12/13/1983,31,33,2015
Scott Andrews,Prop,8/1/1989,25,9,2015
Rob Evans,Prop,4/14/1992,22,0,2015
Paul James,Prop,5/13/1982,32,57,2015
Aaron Jarvis,Prop,5/20/1986,28,5,2015
Gethin Jenkins,Prop,11/17/1980,34,110,2015
Samson Lee,Prop,11/30/1992,22,9,2015
Jake Ball,Lock,6/21/1991,23,8,2015
Luke Charteris,Lock,3/9/1983,31,50,2015
Bradley Davies,Lock,1/9/1987,28,44,2015
Alun Wyn Jones,Lock,9/19/1985,29,84,2015
James King,Flanker,7/24/1990,24,3,2015
Dan Lydiate,Flanker,12/18/1987,27,41,2015
Justin Tipuric,Flanker,8/6/1989,25,27,2015
Sam Warburton (c),Flanker,12/5/1988,26,49,2015
Taulupe Faletau,Number 8,11/12/1990,24,40,2015
Gareth Davies,Scrum-half,8/18/1990,24,1,2015
Mike Phillips,Scrum-half,8/29/1982,32,90,2015
Rhys Webb,Scrum-half,12/9/1988,26,9,2015
Gareth Anscombe,Fly-half,5/10/1991,23,0,2015
Dan Biggar,Fly-half,10/16/1989,25,28,2015
Rhys Priestland,Fly-half,1/9/1987,28,32,2015
Cory Allen,Centre,2/11/1993,21,2,2015
Jonathan Davies,Centre,4/5/1988,26,43,2015
Tyler Morgan,Centre,9/11/1995,19,0,2015
Jamie Roberts,Centre,11/8/1986,28,64,2015
Scott Williams,Centre,10/10/1990,24,27,2015
Hallam Amos,Wing,9/24/1994,20,1,2015
Alex Cuthbert,Wing,4/5/1990,24,30,2015
George North,Wing,4/13/1992,22,45,2015
Leigh Halfpenny,Fullback,12/22/1988,26,55,2015
Liam Williams,Fullback,4/9/1991,23,18,2015
Ken Owens,Hooker,1/3/1987,28,26,2015
Tomas Francis,Prop,4/27/1992,22,0,2015
Rhys Gill,Prop,10/30/1986,28,5,2015
Richard Hibbard,Hooker,12/13/1983,30,26,2014
Ken Owens,Hooker,1/3/1987,27,19,2014
Emyr Phillips,Hooker,2/22/1987,26,3,2014
Ryan Bevington,Prop,12/9/1988,25,12,2014
Paul James,Prop,5/13/1982,31,48,2014
Gethin Jenkins,Prop,11/17/1980,33,101,2014
Adam Jones,Prop,3/8/1981,32,89,2014
Rhodri Jones,Prop,12/23/1991,22,5,2014
Samson Lee,Prop,11/30/1992,21,3,2014
Luke Charteris,Lock,3/9/1983,30,43,2014
Andrew Coombs,Lock,10/27/1984,29,6,2014
Ian Evans,Lock,10/4/1984,29,32,2014
Alun Wyn Jones,Lock,9/19/1985,28,74,2014
Ryan Jones,Flanker,3/13/1981,32,75,2014
Dan Lydiate,Flanker,12/18/1987,26,30,2014
Aaron Shingler,Flanker,8/7/1987,26,7,2014
Justin Tipuric,Flanker,8/6/1989,24,19,2014
Sam Warburton (c),Flanker,10/5/1988,25,41,2014
Taulupe Faletau,Number 8,11/12/1990,23,29,2014
Mike Phillips,Scrum-half,8/29/1982,31,80,2014
Rhys Webb,Scrum-half,12/9/1988,25,3,2014
Rhodri Williams,Scrum-half,5/5/1993,20,2,2014
Dan Biggar,Fly-half,10/16/1989,24,20,2014
James Hook,Fly-half,6/27/1985,28,73,2014
Rhys Priestland,Fly-half,1/9/1987,27,25,2014
Jonathan Davies,Centre,4/5/1988,25,37,2014
Jamie Roberts,Centre,11/8/1986,27,53,2014
Scott Williams,Centre,10/10/1990,23,23,2014
Alex Cuthbert,Wing,4/5/1990,23,19,2014
George North,Wing,4/13/1992,21,35,2014
Leigh Halfpenny,Fullback,12/22/1988,25,48,2014
Liam Williams,Fullback,4/9/1991,22,8,2014
Jake Ball,Lock,6/21/1991,22,0,2014
James King,Flanker,7/24/1990,23,2,2014
Richard Hibbard,Hooker,12/13/1983,38,19,2013
Ken Owens,Hooker,1/3/1987,35,10,2013
Matthew Rees,Hooker,12/9/1980,41,57,2013
Scott Andrews,Prop,8/1/1989,33,5,2013
Ryan Bevington,Prop,12/9/1988,33,8,2013
Paul James,Prop,5/13/1982,40,40,2013
Gethin Jenkins,Prop,11/17/1980,41,94,2013
Adam Jones,Prop,3/8/1981,41,83,2013
Craig Mitchell,Prop,5/3/1986,36,11,2013
Andrew Coombs,Lock,10/27/1984,37,0,2013
Ian Evans,Lock,10/4/1984,37,25,2013
Alun Wyn Jones*,Lock,9/19/1985,37,67,2013
James King,Lock,7/24/1990,32,0,2013
Ollie Kohn,Lock,5/19/1981,41,0,2013
Lou Reed,Lock,9/10/1987,35,2,2013
Ryan Jones,Flanker,3/13/1981,41,70,2013
Josh Navidi,Flanker,12/30/1990,31,0,2013
Aaron Shingler,Flanker,8/7/1987,35,4,2013
Justin Tipuric,Flanker,8/6/1989,33,10,2013
Josh Turnbull,Flanker,3/12/1988,34,5,2013
Sam Warburton (c),Flanker,10/5/1988,33,34,2013
Taulupe Faletau,Number 8,11/12/1990,31,21,2013
Andries Pretorius,Number 8,9/26/1985,37,0,2013
Tavis Knoyle,Scrum-half,6/2/1990,32,9,2013
Mike Phillips,Scrum-half,8/29/1982,40,72,2013
Lloyd Williams,Scrum-half,11/30/1989,32,2,2013
Dan Biggar,Fly-half,10/16/1989,32,11,2013
James Hook,Fly-half,6/27/1985,37,67,2013
Jonathan Davies,Centre,4/5/1988,34,31,2013
Jamie Roberts,Centre,11/8/1986,35,48,2013
Scott Williams,Centre,10/10/1990,31,16,2013
Alex Cuthbert,Wing,4/5/1990,32,13,2013
George North,Wing,4/13/1992,30,26,2013
Eli Walker,Wing,5/28/1992,30,0,2013
Lee Byrne,Fullback,6/1/1980,42,46,2013
Leigh Halfpenny,Fullback,12/22/1988,33,39,2013
Liam Williams,Fullback,4/9/1991,31,2,2013
Huw Bennett,Hooker,6/11/1983,28,49,2012
Ken Owens,Hooker,1/3/1987,25,1,2012
Matthew Rees,Hooker,12/9/1980,41,48,2012
Ryan Bevington,Prop,12/9/1988,23,7,2012
Gethin Jenkins,Prop,11/17/1980,31,83,2012
Adam Jones,Prop,3/8/1981,30,75,2012
Craig Mitchell,Prop,5/3/1986,25,11,2012
Paul James,Prop,5/13/1982,29,31,2012
Rhodri Jones,Prop,12/23/1991,20,0,2012
Rhys Gill,Prop,10/30/1986,25,1,2012
Bradley Davies,Lock,1/9/1987,25,32,2012
Ian Evans,Lock,10/4/1984,27,17,2012
Ryan Jones,Lock,3/13/1981,30,58,2012
Lou Reed,Lock,9/10/1987,24,0,2012
Dan Lydiate,Flanker,12/18/1987,24,20,2012
Justin Tipuric,Flanker,8/6/1989,22,2,2012
Sam Warburton (c),Flanker,10/5/1988,23,24,2012
Taulupe Faletau,Number 8,11/12/1990,21,11,2012
Andy Powell,Number 8,8/23/1981,30,22,2012
Mike Phillips,Scrum-half,8/29/1982,29,60,2012
Rhys Webb,Scrum-half,12/9/1988,23,0,2012
Lloyd Williams,Scrum-half,11/30/1989,22,5,2012
James Hook,Fly-half,6/27/1985,26,59,2012
Rhys Priestland,Fly-half,1/9/1987,25,9,2012
Ashley Beck,Centre,4/15/1990,21,0,2012
Jonathan Davies,Centre,4/5/1988,23,21,2012
Gavin Henson,Centre,2/1/1982,30,33,2012
Jamie Roberts,Centre,11/8/1986,25,39,2012
Scott Williams,Centre,10/10/1990,21,8,2012
George North,Wing,4/13/1992,19,16,2012
Alex Cuthbert,Wing,4/5/1990,21,1,2012
Harry Robinson,Wing,4/16/1993,18,0,2012
Lee Byrne,Fullback,6/1/1980,31,46,2012
Leigh Halfpenny,Fullback,12/22/1988,23,27,2012
Liam Williams,Fullback,4/9/1991,20,0,2012
Huw Bennett,Hooker,6/11/1983,27,38,2011
Richard Hibbard,Hooker,12/13/1983,27,9,2011
Matthew Rees (c),Hooker,12/9/1980,30,42,2011
Scott Andrews,Prop,8/1/1989,21,0,2011
Ryan Bevington,Prop,12/9/1988,22,0,2011
Paul James,Prop,5/13/1982,28,17,2011
Craig Mitchell,Prop,5/3/1986,24,4,2011
John Yapp,Prop,4/9/1983,27,17,2011
Bradley Davies,Lock,1/9/1987,24,17,2011
Alun Wyn Jones,Lock,9/19/1985,25,43,2011
Jonathan Thomas,Lock,12/27/1982,28,62,2011
Dan Lydiate,Flanker,12/18/1987,23,5,2011
Rob McCusker,Flanker,12/12/1985,25,3,2011
Josh Turnbull,Flanker,3/12/1987,23,0,2011
Sam Warburton,Flanker,10/5/1988,22,9,2011
Taulupe Faletau,Number 8,11/12/1990,20,0,2011
Ryan Jones,Number 8,3/13/1981,29,46,2011
Andy Powell,Number 8,8/23/1981,29,16,2011
Tavis Knoyle,Scrum-half,6/2/1990,20,1,2011
Dwayne Peel,Scrum-half,8/31/1981,29,74,2011
Mike Phillips,Scrum-half,8/29/1982,28,46,2011
Stephen Jones,Fly-half,12/8/1977,33,95,2011
Rhys Priestland,Fly-half,1/7/1987,24,0,2011
Jonathan Davies,Centre,4/5/1988,22,7,2011
James Hook,Centre,6/27/1985,25,47,2011
Jamie Roberts,Centre,11/8/1986,24,24,2011
Chris Czekaj,Wing,12/14/1985,25,9,2011
Leigh Halfpenny,Wing,12/22/1988,22,17,2011
Tom Prydie,Wing,2/23/1992,18,4,2011
Morgan Stoddart,Wing,9/23/1984,26,3,2011
Shane Williams,Wing,2/26/1977,33,75,2011
Lee Byrne,Fullback,6/1/1980,30,38,2011
Huw Bennett,Hooker,6/11/1983,39,27,2010
Ken Owens,Hooker,1/3/1987,35,0,2010
Matthew Rees,Hooker,12/9/1980,41,34,2010
Gareth Williams,Hooker,12/19/1979,42,7,2010
Rhys Gill,Prop,10/30/1986,35,0,2010
Paul James,Prop,5/13/1982,40,5,2010
Gethin Jenkins (vc),Prop,11/17/1980,41,72,2010
Adam Jones,Prop,3/8/1981,41,56,2010
Eifion Lewis-Roberts,Prop,2/13/1981,41,1,2010
Luke Charteris,Lock,3/9/1983,39,18,2010
Bradley Davies,Lock,1/9/1987,35,5,2010
Ian Gough,Lock,11/10/1976,45,61,2010
Alun Wyn Jones,Lock,9/19/1985,37,35,2010
Deiniol Jones,Lock,11/18/1977,44,7,2010
Dan Lydiate,Flanker,12/18/1987,34,2,2010
Andy Powell,Flanker,8/23/1981,41,12,2010
Jonathan Thomas,Flanker,12/27/1982,39,50,2010
Sam Warburton,Flanker,10/5/1988,33,3,2010
Martyn Williams,Flanker,9/1/1975,47,91,2010
Gareth Delve,Number 8,12/30/1982,39,9,2010
Ryan Jones (c),Number 8,3/13/1981,41,36,2010
Gareth Cooper,Scrum-half,5/7/1979,43,44,2010
Dwayne Peel,Scrum-half,8/31/1981,41,72,2010
Mike Phillips,Scrum-half,8/29/1982,40,38,2010
Richie Rees,Scrum-half,5/21/1983,39,0,2010
Martin Roberts,Scrum-half,6/6/1986,36,3,2010
Dan Biggar,Fly-half,10/16/1989,32,4,2010
Stephen Jones,Fly-half,12/8/1977,44,83,2010
Andrew Bishop,Centre,8/7/1985,37,8,2010
Jonathan Davies,Centre,4/5/1988,34,5,2010
James Hook,Centre,6/27/1985,37,37,2010
Jamie Roberts,Centre,11/8/1986,35,16,2010
Tom Shanklin,Centre,11/24/1979,42,65,2010
Leigh Halfpenny,Wing,12/22/1988,33,10,2010
Tom James,Wing,4/17/1987,35,8,2010
Kristian Phillips,Wing,9/2/1990,32,0,2010
Tom Prydie,Wing,2/23/1992,30,0,2010
Shane Williams,Wing,2/26/1977,45,68,2010
Lee Byrne,Fullback,6/1/1980,42,27,2010
